,vocab,sound,pos,cefr_level,definition
5048,justification,ˌdʒʌs.tɪ.fɪˈkeɪ.ʃən,noun,C2,a good reason or explanation for something.
5049,kidnap,ˈkɪd.næp,verb,none,"to take a person away illegally by force, usually in order to demand money in exchange for releasing them."
5050,kidnap,ˈkɪd.næp,noun,none,the crime of taking someone away by force and demanding money in exchange for releasing them.
5051,kidney,ˈkɪd.ni,noun,C2,either of a pair of small organs in the body that take away waste matter from the blood to produce urine.
5052,kingdom,ˈkɪŋ.dəm,noun,B2,a country ruled by a king or queen.
5053,kit,kɪt,noun,B1,"a set of things, such as tools or clothes, used for a particular purpose or activity."
5054,lad,læd,noun,none,a boy or young man.
5055,ladder,ˈlæd.ər,noun,B1,"a piece of equipment used for climbing up and down, that consists of two vertical bars or pieces of rope joined to each other by a set of horizontal steps."
5056,ladder,ˈlæd.ər,verb,none,"If a pair of tights or a stocking ladders or if you ladder it, a long hole appears in it."
5057,landing,ˈlæn.dɪŋ,noun,B2,the fact of an aircraft arriving on the ground or a boat reaching land.
5058,landlord,ˈlænd.lɔːd,noun,B2,a person or organization that owns a building or an area of land and is paid by other people for the use of it.
5059,landmark,ˈlænd.mɑːk,noun,C1,"a building or place that is easily recognized, especially one that you can use to judge where you are."
5060,lane,leɪn,noun,B2,a narrow road in the countryside or in a town.
5061,lap,læp,noun,B2,the top surface of the upper part of the legs of a person who is sitting down.
5062,lap,læp,verb,none,to go past someone in a race who has been round the track one less time than you.
5063,large-scale,ˌlɑːdʒˈskeɪl,adjective,none,"involving many people or things, or happening over a large area."
5064,laser,ˈleɪ.zər,noun,B2,"(a device that produces) a powerful, narrow beam of light that can be used as a tool to cut metal, to perform medical operations, or to create patterns of light for entertainment."
5065,lately,ˈleɪt.li,adverb,B1,recently.
5066,latter,ˈlæt.ər,adjective,B2,near or towards the end of something.
5067,latter,ˈlæt.ər,noun,B2,"the second of two people, things, or groups previously mentioned."
5068,lawn,lɔːn,noun,C1,"an area of grass, especially near to a house or in a park, that is cut regularly to keep it short."
5069,lawsuit,ˈlɔː.suːt,noun,C2,a problem taken to a law court by an ordinary person or an organization rather than the police in order to obtain a legal decision.
5070,layout,ˈleɪ.aʊt,noun,C1,the way that something is arranged.
5071,leaflet,ˈliː.flət,noun,B2,a piece of paper that gives you information or advertises something.
5072,leaflet,ˈliː.flət,verb,none,to give out leaflets to people.
5073,leak,liːk,verb,B2,(of a liquid or gas) to escape from a hole or crack in a pipe or container; (of a container) to allow liquid or gas to escape.
5074,leak,liːk,noun,B2,"a hole or crack through which a liquid or gas can flow out of a container, or the liquid or gas that comes out."
5075,leap,liːp,verb,C2,"to make a large jump or sudden movement, usually from one place to another."
5076,leap,liːp,noun,C2,"a big change, increase, or improvement."
5077,legacy,ˈleɡ.ə.si,noun,C2,money or property that you receive from someone after they die.
5078,legend,ˈledʒ.ənd,noun,B2,"a very old story or set of stories from ancient times, or the stories, not always true, that people tell about a famous event or person."
5079,legendary,ˈledʒ.ən.dri,adjective,C1,very famous and admired or spoken about.
5080,legislation,ˌledʒ.ɪˈsleɪ.ʃən,noun,C2,a law or set of laws suggested by a government and made official by a parliament.
5081,legislative,ˈledʒ.ɪ.slə.tɪv,adjective,none,relating to laws or the making of laws.
5082,legislature,ˈledʒ.ɪ.slə.tʃʊər,noun,none,the group of people in a country or part of a country who have the power to make and change laws.
5083,legitimate,ləˈdʒɪt.ə.mət,adjective,C2,allowed by law.
5084,legitimate,ləˈdʒɪt.ə.məɪt,verb,none,to make something legal or acceptable.
5085,lengthy,ˈleŋ.θi,adjective,C1,continuing for a long time.
5086,lens,lenz,noun,none,"a curved piece of glass, plastic, or other transparent material, used in cameras, glasses, and scientific equipment, that makes objects seem closer, larger, smaller, etc.."
5087,lesbian,ˈlez.bi.ən,noun,none,a woman who is sexually or romantically attracted to other women and not to people of other genders.
5088,lesbian,ˈlez.bi.ən,adjective,none,belonging or relating to women who are sexually or romantically attracted to other women and not to people of other genders.
5089,lesser,ˈles.ər,adjective,none,"used to describe something that is not as great in size, amount, or importance as something else."
5090,lethal,ˈliː.θəl,adjective,C2,able to cause or causing death; extremely dangerous.
5091,liable,ˈlaɪ.ə.bəl,adjective,C1,having (legal) responsibility for something or someone.
5092,liberal,ˈlɪb.ər.əl,adjective,C1,respecting and allowing many different types of beliefs or behaviour.
5093,liberal,ˈlɪb.ər.əl,noun,none,someone who respects many different types of beliefs or behaviour.
5094,liberation,ˌlɪb.ərˈeɪ.ʃən,noun,C1,an occasion when something or someone is released or made free.
5095,liberty,ˈlɪb.ə.ti,noun,B2,the freedom to live as you wish or go where you want.
5096,license,ˈlaɪ.səns,noun,none,"US spelling of 
licence ."
5097,license,ˈlaɪ.səns,verb,none,to give someone official permission to do or have something.
5098,lifelong,ˈlaɪf.lɒŋ,adjective,C2,lasting for the whole of a person's life.
5099,lifetime,ˈlaɪf.taɪm,noun,B2,the period of time during which someone lives or something exists.
5100,lighting,ˈlaɪ.tɪŋ,noun,B2,"the arrangement of lights used in a room, house, theatre, etc.."
5101,likelihood,ˈlaɪ.kli.hʊd,noun,C2,the chance that something will happen.
5102,likewise,ˈlaɪk.waɪz,adverb,C2,in the same way.
5103,limb,lɪm,noun,none,an arm or leg of a person or animal.
5104,limitation,ˌlɪm.ɪˈteɪ.ʃən,noun,C1,the act of controlling and especially reducing something.
5105,linear,ˈlɪn.i.ər,adjective,none,consisting of relating to lines or length.
5106,linger,ˈlɪŋ.ɡər,verb,C2,to take a long time to leave or disappear.
5107,listing,ˈlɪs.tɪŋ,noun,none,"a list of information that is published regularly, or an item on this list."
5108,literacy,ˈlɪt.ər.ə.si,noun,C1,the ability to read and write.
5109,literally,ˈlɪt.ər.əl.i,adverb,B2,using the real or original meaning of a word or phrase.
5110,literary,ˈlɪt.ər.ər.i,adjective,B2,"relating to literature (= written artistic works, especially those with a high and lasting artistic value)."
5111,litre,ˈliː.tər,noun,A2,"a unit for measuring the volume of a liquid or a gas, equal to 1,000 cubic centimetres."
5112,litter,ˈlɪt.ər,noun,B2,small pieces of rubbish that have been left lying on the ground in public places.
5113,litter,ˈlɪt.ər,verb,none,to spread across an area or place untidily.
5114,liver,ˈlɪv.ər,noun,B2,"a large organ in the body that cleans the blood and produces bile, or this organ from an animal used as meat."
5115,lobby,ˈlɒb.i,verb,C2,"to try to persuade a politician, the government, or an official group that a particular thing should or should not happen, or that a law should be changed."
5116,lobby,ˈlɒb.i,noun,none,a group of people who try to persuade the government or an official group to do something.
5117,log,lɒɡ,noun,C1,"a thick piece of tree trunk or branch, especially one cut for burning on a fire."
5118,log,lɒɡ,verb,none,to cut down trees so that you can use their wood.
5119,logic,ˈlɒdʒ.ɪk,noun,C1,"a particular way of thinking, especially one that is reasonable and based on good judgment."
5120,logo,ˈləʊ.ɡəʊ,noun,B1,a design or symbol used by a company to advertise its products.
5121,long-standing,ˌlɒŋˈstæn.dɪŋ,adjective,none,having existed for a long time.
5122,long-time,ˈlɒŋ.taɪm,adjective,C1,used to say that someone has been in a particular position for a long period.
5123,loom,luːm,verb,C2,"to appear as a large, often frightening or unclear shape or object."
5124,loom,luːm,noun,none,a piece of equipment for weaving (= making thread into cloth).
5125,loop,luːp,noun,none,"the curved shape made when something long and thin, such as a piece of string, bends until one part of it nearly touches or crosses another part of it."
5126,loop,luːp,verb,none,to make a loop or curve.
5127,lottery,ˈlɒt.ər.i,noun,B1,"a game, often organized by the state or a charity in order to make money, in which tickets with numbers are sold to people who then have a chance of winning a prize if their number is chosen."
5128,loyal,ˈlɔɪ.əl,adjective,B2,"firm and not changing in your friendship with or support for a person or an organization, or in your belief in your principles."
5129,loyalty,ˈlɔɪ.əl.ti,noun,B2,the quality of being loyal.
5130,lyric,ˈlɪr.ɪk,noun,none,"the words of a song, especially a pop song."
5131,lyric,ˈlɪr.ɪk,adjective,none,(especially of poetry and songs) expressing personal thoughts and feelings.
5132,machinery,məˈʃiː.nər.i,noun,C1,a group of large machines or the parts of a machine that make it work.
5133,magical,ˈmædʒ.ɪ.kəl,adjective,B2,produced by or using magic.
5134,magistrate,ˈmædʒ.ɪ.streɪt,noun,C1,a person who acts as a judge in a law court that deals with crimes that are less serious.
5135,magnetic,mæɡˈnet.ɪk,adjective,C1,(of a metal object or material) able to attract objects or materials containing iron or steel.
5136,magnificent,mæɡˈnɪf.ɪ.sənt,adjective,B1,"very good, beautiful, or deserving to be admired."
5137,magnitude,ˈmæɡ.nɪ.tʃuːd,noun,none,the large size or importance of something.
5138,mainland,ˈmeɪn.lænd,adjective,none,"relating to or forming the main part of a country or continent, not including the islands around it."
5139,mainstream,ˈmeɪn.striːm,adjective,C2,"considered normal, and having or using ideas, beliefs, etc. that are accepted by most people."
5140,mainstream,ˈmeɪn.striːm,noun,none,the way of life or set of beliefs accepted by most people.
5141,mainstream,ˈmeɪn.striːm,verb,none,to make something start to be considered normal.
5142,maintenance,ˈmeɪn.tən.əns,noun,B2,"the work needed to keep a road, building, machine, etc. in good condition."
5146,making,ˈmeɪ.kɪŋ,noun,none,the activity or process of producing something.
5147,mandate,ˈmæn.deɪt,noun,none,"the authority given to an elected group of people, such as a government, to perform an action or govern a country."
5148,mandate,ˈmæn.deɪt,verb,none,to give official permission for something to happen.
5149,mandatory,ˈmæn.də.tər.i,adjective,none,"Something that is mandatory must be done, or is demanded by law."
5150,manifest,ˈmæn.ɪ.fest,verb,none,"to show something clearly, through signs or actions."
5151,manifest,ˈmæn.ɪ.fest,adjective,none,easily noticed or obvious.
5152,manifest,ˈmæn.ɪ.fest,noun,none,a list of people and goods carried on a ship or plane.
5153,manipulate,məˈnɪp.jə.leɪt,verb,none,"to control something or someone to your advantage, often unfairly or dishonestly."
5154,manipulation,məˌnɪp.jəˈleɪ.ʃən,noun,none,"controlling someone or something to your own advantage, often unfairly or dishonestly."
5155,manufacture,ˌmæn.jəˈfæk.tʃər,verb,B2,"to produce goods in large numbers, usually in a factory using machines."
5156,manufacture,ˌmæn.jəˈfæk.tʃər,noun,none,the process of producing goods.
5157,manufacturing,ˌmæn.jəˈfæk.tʃə.rɪŋ,noun,B2,the business of producing goods in large numbers.
5158,manuscript,ˈmæn.jə.skrɪpt,noun,none,the original copy of a book or article before it is printed.
5159,marathon,ˈmær.ə.θən,noun,B2,a running race of slightly over 26 miles (42.195 kilometres).
5160,marathon,ˈmær.ə.θən,adjective,none,related to marathons (= running races).
5163,margin,ˈmɑː.dʒɪn,noun,C2,the amount by which one thing is different from another.
5164,marginal,ˈmɑː.dʒɪ.nəl,adjective,C2,very small in amount or effect.
5165,marginal,ˈmɑː.dʒɪ.nəl,noun,none,a marginal political area or position in parliament.
5166,marine,məˈriːn,adjective,none,related to the sea or sea transport.
5167,marine,məˈriːn,noun,none,a soldier who works closely with the navy and is trained especially for military operations on land that begin from the sea.
5168,marker,ˈmɑː.kər,noun,none,a sign that shows where something is.
5169,marketplace,ˈmɑː.kɪt.pleɪs,noun,none,a set of trading conditions or the business environment.
5170,martial,ˈmɑː.ʃəl,adjective,none,"relating to soldiers, war, or life in the armed forces."
5171,mask,mɑːsk,noun,B2,"a covering for all or part of the face that protects, hides, or decorates the person wearing it."
5172,mask,mɑːsk,verb,none,to prevent something from being seen or noticed.
5173,massacre,ˈmæs.ə.kər,noun,C2,an act of killing a lot of people.
5174,massacre,ˈmæs.ə.kər,verb,none,to kill many people in a short period of time.
5175,mate,meɪt,noun,none,an animal's sexual partner.
5176,mate,meɪt,verb,none,"to have sex and produce young, or to make animals do this."
5177,mathematical,ˌmæθ.əmˈæt.ɪ.kəl,adjective,B2,relating to mathematics.
5178,mature,məˈtʃʊər,adjective,B2,Mature people behave like adults in a way that shows they are well developed emotionally.
5179,mature,məˈtʃʊər,verb,none,to become more developed mentally and emotionally and behave in a responsible way.
5180,maximize,ˈmæk.sɪ.maɪz,verb,C2,"to make something as great in amount, size, or importance as possible."
5181,mayor,meər,noun,B2,a person who is elected or chosen to lead the group who governs a town or city.
5182,meaningful,ˈmiː.nɪŋ.fəl,adjective,B2,"intended to show meaning, often secretly."
5183,meantime,ˈmiːn.taɪm,noun,B2,"until something expected happens, or while something else is happening."
5184,mechanic,məˈkæn.ɪk,noun,A2,someone whose job is repairing the engines of vehicles and other machines.
5185,mechanical,məˈkæn.ɪ.kəl,adjective,B2,"operated by a machine, or connected with machines or their parts."
5186,mechanism,ˈmek.ə.nɪ.zəm,noun,C1,"a part of a machine, or a set of parts that work together."
5187,medal,ˈmed.əl,noun,B2,"a small metal disc, with words or a picture on it, given as a reward for a brave action, for winning a competition, or to remember a special event."
5188,medal,ˈmed.əl,verb,none,to win a medal in a sports competition.
5189,medication,ˌmed.ɪˈkeɪ.ʃən,noun,C2,"a medicine, or a set of medicines or drugs, used to improve a particular condition or illness."
5190,medieval,ˌmed.ˈiː.vəl,adjective,B2,related to the Middle Ages (= the period in European history from about AD 600 to AD 1500).
5191,meditation,ˌmed.ɪˈteɪ.ʃən,noun,none,"the act of giving your attention to only one thing, either as a religious activity or as a way of becoming calm and relaxed."
5192,melody,ˈmel.ə.di,noun,C2,"a tune, often forming part of a larger piece of music."
5193,membership,ˈmem.bə.ʃɪp,noun,B1,the state of belonging to an organization.
5194,memo,ˈmem.əʊ,noun,C1,a message or other information in writing sent by one person or department to another in the same business organization.
5195,memoir,ˈmem.wɑːr,noun,none,"a book or other piece of writing based on the writer's personal knowledge of famous people, places, or events."
5196,memorable,ˈmem.ər.ə.bəl,adjective,B2,likely to be remembered or worth remembering.
5197,memorial,məˈmɔː.ri.əl,noun,C2,"an object, often large and made of stone, that has been built to honour a famous person or event."
5198,memorial,məˈmɔː.ri.əl,adjective,none,done to remember a person or people who have died.
5199,mentor,ˈmen.tɔːr,noun,none,"a person who gives a younger or less experienced person help and advice over a period of time, especially at work or school."
5200,mentor,ˈmen.tɔːr,verb,none,"to help and give advice to a younger or less experienced person, especially in a job or at school."
5201,merchant,ˈmɜː.tʃənt,noun,none,"a person whose job is to buy and sell products in large amounts, especially by trading with other countries."
5202,mercy,ˈmɜː.si,noun,C2,"kindness that makes you forgive someone, usually someone that you have authority over."
5203,mere,mɪər,adjective,B2,used to emphasize that something is not large or important.
5204,merely,ˈmɪə.li,adverb,B2,used to emphasize that you mean exactly what you are saying and nothing more.
5205,merge,mɜːdʒ,verb,C2,"to combine or join together, or to cause things to do this."
5206,merger,ˈmɜː.dʒər,noun,C2,an occasion when two or more companies or organizations join together to make one larger company.
5207,merit,ˈmer.ɪt,noun,C1,the quality of being good and deserving praise.
5208,merit,ˈmer.ɪt,verb,C2,"If something merits a particular treatment, it deserves or is considered important enough to be treated in that way."
5209,metaphor,ˈmet.ə.fɔːr,noun,C2,"an expression, often found in literature, that describes a person or object by referring to something that is considered to have similar characteristics to that person or object."
5210,methodology,ˌmeθ.əˈdɒl.ə.dʒi,noun,none,"a system of ways of doing, teaching, or studying something."
5211,midst,mɪdst,noun,none,the middle of a group of people or things.
5212,midst,mɪdst,preposition,none,among.
5213,migration,maɪˈɡreɪ.ʃən,noun,none,"the process of animals travelling to a different place, usually when the season changes."
5214,militant,ˈmɪl.ɪ.tənt,adjective,none,"active, determined, and often willing to use force."
5215,militant,ˈmɪl.ɪ.tənt,noun,none,someone who is militant.
5216,militia,mɪˈlɪʃ.ə,noun,none,a military force whose members are trained soldiers but who often have other jobs.
5217,mill,mɪl,noun,none,a building where grain is crushed into flour.
5218,mill,mɪl,verb,none,to crush grain into flour or another substance into powder.
5219,miner,ˈmaɪ.nər,noun,C1,a person who works in a mine.
5220,minimal,ˈmɪn.ɪ.məl,adjective,C1,very small in amount.
5221,minimize,ˈmɪn.ɪ.maɪz,verb,C1,to reduce something to the least possible level or amount.
5222,mining,ˈmaɪ.nɪŋ,noun,C1,the industry or activity of removing substances such as coal or metal from the ground by digging.
5223,ministry,ˈmɪn.ɪ.stri,noun,C1,"in Britain and some other countries, a department of the government led by a minister."
5224,minute,ˈmɪn.ɪt,noun,A1,"one of the 60 parts that an hour is divided into, consisting of 60 seconds."
5225,minute,ˈmɪn.ɪt,verb,none,to make a written record of what is said at a meeting.
5226,miracle,ˈmɪr.ə.kəl,noun,B2,an unusual and mysterious event that is thought to have been caused by a god because it does not follow the usual laws of nature.
5227,miserable,ˈmɪz.ər.ə.bəl,adjective,B1,very unhappy.
5228,misery,ˈmɪz.ər.i,noun,B2,great unhappiness.
5229,misleading,ˌmɪsˈliː.dɪŋ,adjective,B2,causing someone to believe something that is not true.
5230,missile,ˈmɪs.aɪl,noun,C2,a flying weapon that has its own engine so that it can travel a long distance before exploding at the place that it has been aimed at.
5231,mob,mɒb,noun,none,"a large, angry crowd, especially one that could easily become violent."
5232,mob,mɒb,verb,none,"to come together around someone in a crowd to express admiration, interest, or anger."
5233,mobility,məʊˈbɪl.ə.ti,noun,none,the ability to move freely or be easily moved.
5234,mobilize,ˈməʊ.bɪ.laɪz,verb,none,"to organize or prepare something, such as a group of people, for a purpose."
5235,mode,məʊd,noun,C1,"a way of operating, living, or behaving."
5236,moderate,ˈmɒd.ər.ət,adjective,C1,"neither small nor large in size, amount, degree, or strength."
5237,moderate,ˈmɒd.ər.ət,noun,none,"a person whose opinions, especially their political ones, are not extreme and are therefore acceptable to a large number of people."
5238,moderate,ˈmɒd.ər.eɪt,verb,C2,"to (cause to) become less in size, strength, or force; to reduce something."
5239,modest,ˈmɒd.ɪst,adjective,B2,"not large in size or amount, or not expensive."
5240,modification,ˌmɒd.ɪ.fɪˈkeɪ.ʃən,noun,C1,"a change to something, usually to improve it."
5241,momentum,məˈmen.təm,noun,C2,the force that keeps an object moving.
5242,monk,mʌŋk,noun,none,a member of a group of religious men who do not marry and usually live together in a monastery.
5243,monopoly,məˈnɒp.əl.i,noun,C2,"(an organization or group that has) complete control of something, especially an area of business, so that others have no share."
5244,monster,ˈmɒn.stər,noun,B1,"any imaginary frightening creature, especially one that is large and strange."
5245,monster,ˈmɒn.stər,adjective,none,very big.
5246,monster,ˈmɒn.stər,verb,none,to criticize someone severely or to treat someone very badly.
5247,monthly,ˈmʌn.θli,adjective,B1,happening or produced once a month.
5248,monthly,ˈmʌn.θli,noun,none,a magazine that is published once a month.
5249,monument,ˈmɒn.jə.mənt,noun,B2,a structure or building that is built to honour a special person or event.
5250,morality,məˈræl.ə.ti,noun,none,a set of personal or social standards for good or bad behaviour and character.
5251,moreover,ˌmɔːˈrəʊ.vər,adverb,B2,(used to add information) also and more importantly.
5252,mortgage,ˈmɔː.ɡɪdʒ,noun,none,"an agreement that allows you to borrow money from a bank or similar organization, especially in order to buy a house, or the amount of money itself."
5253,mortgage,ˈmɔː.ɡɪdʒ,verb,none,to borrow money to buy a house.
5254,mosque,mɒsk,noun,A2,a building for Islamic religious activities and worship.
5255,motion,ˈməʊ.ʃən,noun,C2,"the act or process of moving, or a particular action or movement."
5256,motion,ˈməʊ.ʃən,verb,none,"to make a signal to someone, usually with your hand or head."
5257,motivate,ˈməʊ.tɪ.veɪt,verb,C1,to cause someone to behave in a particular way.
5258,motivation,ˌməʊ.tɪˈveɪ.ʃən,noun,B2,enthusiasm for doing something.
5259,motive,ˈməʊ.tɪv,noun,B2,a reason for doing something.
5260,motive,ˈməʊ.tɪv,adjective,none,(of power or force) causing movement or action.
5261,motorist,ˈməʊ.tər.ɪst,noun,B2,a person who drives a car.
5262,moving,ˈmuː.vɪŋ,adjective,none,A moving object is one that moves.
5263,moving,ˈmuː.vɪŋ,noun,none,the action of going to a different place to live or work.
5264,municipal,mjuːˈnɪs.ɪ.pəl,adjective,C1,of or belonging to a town or city.
5265,mutual,ˈmjuː.tʃu.əl,adjective,C1,"(of two or more people or groups) feeling the same emotion, or doing the same thing to or for each other."
5266,mutual,ˈmjuː.tʃu.əl,noun,none,"a financial organization that is owned by its members, rather than by shareholders."
5267,myth,mɪθ,noun,B2,"an ancient story or set of stories, especially explaining the early history of a group of people or about natural events and facts."
5268,naked,ˈneɪ.kɪd,adjective,B2,not covered by clothes.
5269,namely,ˈneɪm.li,adverb,C1,used when you want to give more detail or be more exact about something you have just said.
5270,nasty,ˈnɑː.sti,adjective,B1,bad or very unpleasant.
5271,nationwide,ˌneɪ.ʃənˈwaɪd,adjective,B2,existing or happening in all parts of a particular country.
5272,nationwide,ˌneɪ.ʃənˈwaɪd,adverb,B2,in all parts of a particular country.
5273,naval,ˈneɪ.vəl,adjective,C2,"belonging to a country's navy, or relating to military ships."
5274,navigation,ˌnæv.ɪˈɡeɪ.ʃən,noun,none,"the act of directing a ship, aircraft, etc. from one place to another, or the science of finding a way from one place to another."
5275,nearby,ˌnɪəˈbaɪ,adverb,B1,not far away.
5276,necessity,nəˈses.ə.ti,noun,C1,the need for something.
5277,neglect,nɪˈɡlekt,verb,C1,to not give enough care or attention to people or things that are your responsibility.
5278,neglect,nɪˈɡlekt,noun,C1,"a situation in which you do not give enough care or attention to someone or something, or the state of not receiving enough care or attention."
5279,negotiate,nəˈɡəʊ.ʃi.eɪt,verb,C1,to have formal discussions with someone in order to reach an agreement with them.
5280,negotiation,nəˌɡəʊ.ʃiˈeɪ.ʃən,noun,C1,"the process of discussing something with someone in order to reach an agreement with them, or the discussions themselves."
5281,neighbouring,ˈneɪ.bər.ɪŋ,adjective,B2,Neighbouring places are next to or near each other.
5282,nest,nest,noun,C2,"a structure built by birds or insects to leave their eggs in to develop, and by some other animals to give birth or live in."
5283,nest,nest,verb,C2,"to build a nest, or live in a nest."
5284,net,net,noun,B1,"material made of threads of rope, string, wire, or plastic with spaces between them, allowing gas, liquid, or small objects to go through, or an object made with this material that is used to limit the movement of something."
5285,net,net,verb,none,to catch something using a net.
5286,net,net,adjective,none,left when there is nothing else to be taken away.
5287,neutral,ˈnjuː.trəl,adjective,C1,not saying or doing anything that would encourage or help any of the groups involved in an argument or war.
5288,neutral,ˈnjuː.trəl,noun,none,the position of the gears in a vehicle when they are not connected to the engine.
5289,newly,ˈnjuː.li,adverb,B2,recently.
5290,newsletter,ˈnjuːzˌlet.ər,noun,C1,"a printed or electronic document containing information about the recent activities of an organization, sent regularly to the organization's members."
5291,niche,niːʃ,noun,none,"a job or position that is very suitable for someone, especially one that they like."
5292,niche,niːʃ,adjective,none,"interesting to, aimed at, or affecting only a small number of people."
5293,noble,ˈnəʊ.bəl,adjective,C1,"moral in an honest, brave, and kind way."
5294,noble,ˈnəʊ.bəl,noun,none,a person of the highest social group in some countries.
5295,nod,nɒd,verb,B2,"to move your head down and then up, sometimes several times, especially to show agreement, approval, or greeting, or to show something by doing this."
5296,nod,nɒd,noun,none,a movement up and down with the head.
5297,nominate,ˈnɒm.ɪ.neɪt,verb,C1,"to officially suggest someone for an election, job, position, or honour."
5298,nomination,ˌnɒm.ɪˈneɪ.ʃən,noun,C1,"the act of officially suggesting someone or something for a job, position, or prize."
5299,nominee,ˌnɒm.ɪˈniː,noun,none,someone who has been nominated for something.
5300,non-profit,ˌnɒnˈprɒf.ɪt,adjective,none,"not intended to make a profit, but to make money for a social or political purpose or to provide a service that people need."
5301,non-profit,ˌnɒnˈprɒf.ɪt,noun,none,"an organization whose aim is to make money for a social or political purpose or to provide a service that people need, rather than to make a profit."
5302,nonetheless,ˌnʌn.ðəˈles,adverb,C1,despite what has just been said or done.
5303,nonsense,ˈnɒn.səns,noun,B2,"an idea, something said or written, or behaviour that is silly or stupid."
5304,noon,nuːn,noun,A2,"twelve o'clock in the middle of the day, or about that time."
5305,norm,nɔːm,noun,C1,an accepted standard or a way of behaving or doing things that most people agree with.
5306,notable,ˈnəʊ.tə.bəl,adjective,C1,"important and deserving attention, because of being very good or interesting."
5307,notable,ˈnəʊ.tə.bəl,noun,none,an important or famous person.
5308,notably,ˈnəʊ.tə.bli,adverb,C1,especially or most importantly.
5309,notebook,ˈnəʊt.bʊk,noun,A2,"a book of plain paper or paper with lines, for writing on."
5310,notify,ˈnəʊ.tɪ.faɪ,verb,C1,to tell someone officially about something.
5311,notorious,nəʊˈtɔː.ri.əs,adjective,C1,famous for something bad.
5312,novel,ˈnɒv.əl,noun,B1,a long printed story about imaginary characters and events.
5313,novel,ˈnɒv.əl,adjective,none,"new and original, not like anything seen before."
5314,novelist,ˈnɒv.əl.ɪst,noun,B2,a person who writes novels.
5315,nowadays,ˈnaʊ.ə.deɪz,adverb,B1,"at the present time, in comparison to the past."
5316,nursery,ˈnɜː.sər.i,noun,B2,a place where young children and babies are taken care of while their parents are at work.
5317,nursery,ˈnɜː.sər.i,adjective,none,relating to the teaching of children who are between the ages of two or three to five years old.
5318,nursing,ˈnɜː.sɪŋ,adjective,none,A nursing mother is a woman who is feeding her baby with her own breast milk.
5319,nursing,ˈnɜː.sɪŋ,noun,none,the job of being a nurse.
5320,nutrition,njuːˈtrɪʃ.ən,noun,C1,the substances that you take into your body as food and the way that they influence your health.
5321,obesity,əʊˈbiː.sə.ti,noun,C1,"the fact of being extremely fat, in a way that is dangerous for health."
5322,objection,əbˈdʒek.ʃən,noun,B2,the act of expressing or feeling opposition to or dislike of something or someone.
5323,oblige,əˈblaɪdʒ,verb,none,"to force someone to do something, or to make it necessary for someone to do something."
5324,observer,əbˈzɜː.vər,noun,C2,a person who watches what happens but has no active part in it.
5325,obsess,əbˈses,verb,none,"If something or someone obsesses you, or if you obsess about something or someone, you think about it, him, or her all the time."
5326,obsession,əbˈseʃ.ən,noun,B2,something or someone that you think about all the time.
5327,obstacle,ˈɒb.stə.kəl,noun,C1,"something that blocks you so that movement, going forward, or action is prevented or made more difficult."
5328,occasional,əˈkeɪ.ʒən.əl,adjective,C1,not happening or done often or regularly.
5329,occupation,ˌɒk.jəˈpeɪ.ʃən,noun,A2,a person's job.
5330,occupy,ˈɒk.jə.paɪ,verb,B2,"to fill, exist in, or use a place or period of time."
5331,occurrence,əˈkʌr.əns,noun,C1,something that happens.
5332,odds,ɒdz,noun,C1,the probability (= how likely it is) that a particular thing will or will not happen.
5333,offender,əˈfen.dər,noun,B2,a person who is guilty of a crime.
5334,offering,ˈɒf.ər.ɪŋ,noun,none,something that you give or offer to someone.
5335,offspring,ˈɒf.sprɪŋ,noun,C2,the young of an animal.
5336,ongoing,ˈɒŋˌɡəʊ.ɪŋ,adjective,C2,"continuing to exist or develop, or happening at the present moment."
5337,openly,ˈəʊ.pən.li,adverb,C1,without hiding any of your thoughts or feelings.
5338,opera,ˈɒp.ər.ə,noun,A2,"a musical play in which most of the words are sung, or plays and music of this type."
5339,operational,ˌɒp.ərˈeɪ.ʃən.əl,adjective,none,relating to a particular activity.
5340,operator,ˈɒp.ər.eɪ.tər,noun,B2,someone whose job is to use and control a machine or vehicle.
5341,opt,ɒpt,verb,C1,"to make a choice, especially of one thing or possibility instead of others."
5342,optical,ˈɒp.tɪ.kəl,adjective,none,relating to light or the ability to see.
5343,optimism,ˈɒp.tɪ.mɪ.zəm,noun,C2,"the quality of being full of hope and emphasizing the good parts of a situation, or a belief that something good will happen."
5344,optimistic,ˌɒp.tɪˈmɪs.tɪk,adjective,B2,hoping or believing that good things will happen in the future.
5345,oral,ˈɔː.rəl,adjective,B2,spoken and not written.
5346,oral,ˈɔː.rəl,noun,none,"an exam, often a type of language exam, in which you give spoken and not written answers."
5347,orchestra,ˈɔː.kɪ.strə,noun,B1,a large group of musicians who play many different instruments together and are led by a conductor.
5348,organic,ɔːˈɡæn.ɪk,adjective,B2,not using artificial chemicals in the growing of plants and animals for food and other products.
5349,organizational,ˌɔː.ɡən.aɪˈzeɪ.ʃən.əl,adjective,none,relating to the planning of an activity or event.
5350,orientation,ˌɔː.ri.enˈteɪ.ʃən,noun,C2,"the particular things that a person prefers, believes, thinks, or usually does."
5351,originate,əˈrɪdʒ.ən.eɪt,verb,C2,"to come from a particular place, time, situation, etc.."
